"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","LgSUBTLWF","SUBTLCD","LgSUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","Freq_N_OG","Freq_N_OGH","Freq_Greater","Freq_G_Mean","Freq_Less","Freq_L_Mean","Freq_Rel","OLD","OLDF","PLD","PLDF","Concreteness_Rating","Semantic_Neighborhood_Density","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","Assoc_Freq_R1","Assoc_Types_R1","Assoc_Freq_R123","Assoc_Types_R123","BG_Sum","BG_Mean","BG_Freq_By_Pos","Pron","NPhon","NSyll","MorphSp","MorphPr","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"monetary","8","9","4,496","8.411","1.020","1.724","0.560","1.681","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.950","7.532","2.700","6.839","2.960","0.589","2,384","1.269","12.560","#","6.320","4.460","5.620","17","13","44","34","14,675","2,096.429","2,635","m""A.n@.t%E.ri","8","4","{monet--ary}","{m""A.n@.t--%E.ri}","2","JJ|NN","853.276","0.077","432.749","29","0.85","818.846","0.276","284.047","26","0.963"
"money","5","265","209,588","12.253","640.760","4.514","67.320","3.752","3","19","19","1","1","6.5","7.268","7.268","9.115","9.115","0","#","3","6.5","1.90","1.750","7.655","1.000","7.265","4.540","0.678","8,576","1.956","5.110","6.292","7.100","6.860","6.320","6,042","874","13,771","1,968","8,081","2,020.250","1,890","m""V.ni","4","2","{money}","{m""V.ni}","1","NN","603.242","-0.664","212.169","33","1.00","597.889","-0.576","126.204","27","1.000"
"moneybags","9","#","18","2.890","0.250","1.146","0.150","1.146","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.100","6.424","4.250","4.671","3.850","0.210","0","#","9.320","5.000","#","#","#","#","#","1","1","9,961","1,245.125","2,046","m""V.ni.b%agz","8","3","{money}{bag}>s>","{m""V.ni}.{b%ag}>z>","3","NN","751.353","-0.096","228.463","34","0.97","746.320","-0.077","287.009","25","0.962"
"moneybox","8","#","2","0.693","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.750","6.093","3.700","4.624","4.620","0.246","0","#","#","#","#","#","#","1","1","2","2","8,987","1,283.857","1,994","m""V.ni.b%Aks","8","3","{money}{box}","{m""V.ni}.{b%Aks}","2","NN","718.088","-0.129","146.271","34","1.00","717.071","-0.109","170.005","28","1.000"
"moneychanger","12","#","626","6.439","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","5.300","5.867","6.100","6.317","#","0.256","0","#","#","#","#","#","#","#","#","#","#","25,599","2,327.182","2,814","m""V.ni.tS%endZ.@`","9","4","{money}{change}>er>","{m""V.ni}.{tS%endZ}.>@`>","3","NN","941.935","0.493","271.594","31","0.94","781.296","0.252","154.312","27","0.964"
"moneyed","7","1","105","4.654","0.040","0.477","0.020","0.477","0","3","3","0","0","#","5.473","5.473","#","#","#","#","#","#","#","2.700","6.125","1.850","7.809","#","0.190","0","#","11.290","#","#","#","#","3","2","9","6","12,748","2,124.667","2,715","m""V.nid","5","2","{money}>ed>","{m""V.ni}>d>","2","JJ","1,011.000","0.932","384.494","13","0.39","728.154","-0.097","233.598","26","0.963"
"moneylender","11","#","6","1.792","0.080","0.699","0.050","0.699","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.750","5.034","4.900","5.275","4.430","0.208","0","#","11.410","3.792","#","#","#","#","#","1","1","25,932","2,593.200","3,092","m""V.ni.l%En4.@`","9","4","{money}{lend}>er>","{m""V.ni}.{l%En4}.>@`>","3","NN","908.964","0.860","212.099","28","0.90","783.259","0.260","157.499","27","1.000"
"moneyless","9","#","11","2.398","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.100","5.476","2.900","5.501","3.400","0.194","0","#","#","#","#","#","#","2","1","6","5","17,651","2,206.375","3,132","m""V.ni.l@s","7","3","{money}>less>","{m""V.ni}.>l@s>","2","JJ","820.750","0.181","312.235","32","1.00","653.917","-0.368","94.812","24","0.960"
"moneymaker","10","#","67","4.205","0.370","1.301","0.230","1.301","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.900","5.367","3.850","3.732","3.140","0.244","0","#","11.390","#","#","#","#","2","2","5","5","17,294","1,921.556","2,455","m""V.ni.m%ek.@`","8","4","{money}{make}>er>","{m""V.ni}.{m%ek}.>@`>","3","NN","744.062","-0.093","243.387","32","0.94","663.654","-0.266","99.394","26","0.963"
"moneymaking","11","1","171","5.142","0.080","0.699","0.040","0.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.450","6.045","4.000","4.303","2.640","0.259","0","#","8.320","#","#","#","#","#","#","#","#","21,474","2,147.400","2,728","m""V.ni.m%ek.IN","9","4","{money}{make}>ing>","{m""V.ni}.{m%ek}.>IN>","3","VB|NN|JJ","863.912","0.181","380.043","34","1.00","718.615","-0.143","228.318","26","0.963"
